LWS,Array Size,Sparsity Ratio,Compute Cycles
lws_4x4,4x4,1:4,559999
lws_4x4,4x4,2:4,1119999
lws_4x4,4x4,3:4,1679999
lws_4x4,4x4,4:4,2239999
lws_8x8,8x8,1:8,279999
lws_8x8,8x8,2:8,559999
lws_8x8,8x8,3:8,839999
lws_8x8,8x8,4:8,1119999
lws_8x8,8x8,5:8,1399999
lws_8x8,8x8,6:8,1679999
lws_8x8,8x8,7:8,1959999
lws_8x8,8x8,8:8,2239999
lws_16x16,16x16,1:16,139999
lws_16x16,16x16,2:16,279999
lws_16x16,16x16,3:16,419999
lws_16x16,16x16,4:16,559999
lws_16x16,16x16,5:16,699999
lws_16x16,16x16,6:16,839999
lws_16x16,16x16,7:16,979999
lws_16x16,16x16,8:16,1119999
lws_16x16,16x16,9:16,1259999
lws_16x16,16x16,10:16,1399999
lws_16x16,16x16,11:16,1539999
lws_16x16,16x16,12:16,1679999
lws_16x16,16x16,13:16,1819999
lws_16x16,16x16,14:16,1959999
lws_16x16,16x16,15:16,2099999
lws_16x16,16x16,16:16,2239999
lws_32x32,32x32,1:32,69999
lws_32x32,32x32,2:32,139999
lws_32x32,32x32,3:32,209999
lws_32x32,32x32,4:32,279999
lws_32x32,32x32,5:32,349999
lws_32x32,32x32,6:32,419999
lws_32x32,32x32,7:32,489999
lws_32x32,32x32,8:32,559999
lws_32x32,32x32,9:32,629999
lws_32x32,32x32,10:32,699999
lws_32x32,32x32,11:32,769999
lws_32x32,32x32,12:32,839999
lws_32x32,32x32,13:32,909999
lws_32x32,32x32,14:32,979999
lws_32x32,32x32,15:32,1049999
lws_32x32,32x32,16:32,1119999
lws_32x32,32x32,17:32,1189999
lws_32x32,32x32,18:32,1259999
lws_32x32,32x32,19:32,1329999
lws_32x32,32x32,20:32,1399999
lws_32x32,32x32,21:32,1469999
lws_32x32,32x32,22:32,1539999
lws_32x32,32x32,23:32,1609999
lws_32x32,32x32,24:32,1679999
lws_32x32,32x32,25:32,1749999
lws_32x32,32x32,26:32,1819999
lws_32x32,32x32,27:32,1889999
lws_32x32,32x32,28:32,1959999
lws_32x32,32x32,29:32,2029999
lws_32x32,32x32,30:32,2099999
lws_32x32,32x32,31:32,2169999
lws_32x32,32x32,32:32,2239999
