LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 1937599, 0, 367.1967213030147, 92.5, 92.40072649219869,
1, 1685375, 0, 398.633182526144, 100.0, 99.55616251280233,
2, 1685375, 0, 398.633182526144, 100.0, 99.55616251280233,
3, 1685375, 0, 398.633182526144, 100.0, 99.55616251280233,
4, 1685375, 0, 398.633182526144, 100.0, 99.55616251280233,
5, 914687, 0, 394.9626484250897, 100.0, 98.36888331242287,
6, 1580543, 0, 394.1693455983165, 100.0, 98.11320754717327,
7, 108927, 0, 395.303276506284, 100.0, 98.47775175643996,
8, 1580543, 0, 394.1693455983165, 100.0, 98.11320754717327,
9, 1580543, 0, 394.1693455983165, 100.0, 98.11320754717327,
10, 949247, 0, 380.58292520281867, 100.0, 93.77990430621392,
11, 1419263, 0, 374.02623756132584, 100.0, 91.71974522294228,
12, 120319, 0, 382.98190643206806, 100.0, 94.53781512605103,
13, 1419263, 0, 374.02623756132584, 100.0, 91.71974522294228,
14, 1419263, 0, 374.02623756132584, 100.0, 91.71974522294228,
15, 1087487, 0, 332.2036953085416, 100.0, 79.03225806453928,
16, 1290239, 0, 285.7145071572011, 100.0, 65.78947368424475,
17, 151551, 0, 345.9482286491016, 100.0, 83.11688311687924,
18, 1290239, 0, 285.7145071572011, 100.0, 65.78947368424475,
19, 1290239, 0, 285.7145071572011, 100.0, 65.78947368424475,
20, 87999, 0, 36.36404959147263, 100.0, 7.142857142856489,
