LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 5.0, 1937594.0, 8960, 1.0, 1925494.0, 2368, 7.0, 1937599.0, 7744000, -5243.0, 194027.0, 9961700, -48.0, -1.0, 2400, 131180.0, 1945678.0, 7744000,
1, 5.0, 1685373.0, 13824, 1.0, 1682454.0, 9216, 7.0, 1685375.0, 6718464, -5243.0, 215003.0, 11010300, -185.0, -1.0, 9250, 131520.0, 1693914.0, 6718464,
2, 5.0, 1685373.0, 13824, 1.0, 1682454.0, 9216, 7.0, 1685375.0, 6718464, -5243.0, 215003.0, 11010300, -185.0, -1.0, 9250, 131520.0, 1693914.0, 6718464,
3, 5.0, 1685373.0, 13824, 1.0, 1682454.0, 9216, 7.0, 1685375.0, 6718464, -5243.0, 215003.0, 11010300, -185.0, -1.0, 9250, 131520.0, 1693914.0, 6718464,
4, 5.0, 1685373.0, 13824, 1.0, 1682454.0, 9216, 7.0, 1685375.0, 6718464, -5243.0, 215003.0, 11010300, -185.0, -1.0, 9250, 131520.0, 1693914.0, 6718464,
5, 5.0, 914684.0, 27648, 1.0, 913898.0, 18432, 7.0, 914687.0, 3612672, -2258.0, -1.0, 112900, -369.0, -1.0, 18450, 132750.0, 924025.0, 3612672,
6, 5.0, 1580541.0, 55296, 1.0, 1579862.0, 36864, 7.0, 1580543.0, 6230016, -3894.0, -1.0, 194700, -738.0, -1.0, 36900, 133010.0, 1589799.0, 6230016,
7, 5.0, 108895.0, 1024, 1.0, 108081.0, 2048, 7.0, 108927.0, 430592, -270.0, -1.0, 13500, -41.0, -1.0, 2050, 108927.0, 117538.0, 430592,
8, 5.0, 1580541.0, 55296, 1.0, 1579862.0, 36864, 7.0, 1580543.0, 6230016, -3894.0, -1.0, 194700, -738.0, -1.0, 36900, 133010.0, 1589799.0, 6230016,
9, 5.0, 1580541.0, 55296, 1.0, 1579862.0, 36864, 7.0, 1580543.0, 6230016, -3894.0, -1.0, 194700, -738.0, -1.0, 36900, 133010.0, 1589799.0, 6230016,
10, 5.0, 949244.0, 110592, 1.0, 949046.0, 73728, 7.0, 949247.0, 3612672, -1129.0, -1.0, 56450, -1475.0, -1.0, 73750, 137760.0, 958585.0, 3612672,
11, 5.0, 1419261.0, 221184, 1.0, 1419114.0, 147456, 7.0, 1419263.0, 5308416, -1659.0, -1.0, 82950, -2950.0, -1.0, 147500, 140180.0, 1420573.0, 5308416,
12, 5.0, 120301.0, 4096, 1.0, 120089.0, 8192, 7.0, 120319.0, 460800, -144.0, -1.0, 7200, -164.0, -1.0, 8200, 120319.0, 129534.0, 460800,
13, 5.0, 1419261.0, 221184, 1.0, 1419114.0, 147456, 7.0, 1419263.0, 5308416, -1659.0, -1.0, 82950, -2950.0, -1.0, 147500, 140180.0, 1420573.0, 5308416,
14, 5.0, 1419261.0, 221184, 1.0, 1419114.0, 147456, 7.0, 1419263.0, 5308416, -1659.0, -1.0, 82950, -2950.0, -1.0, 147500, 140180.0, 1420573.0, 5308416,
15, 5.0, 1087484.0, 442368, 1.0, 1087433.0, 294912, 7.0, 1087487.0, 3612672, -565.0, -1.0, 28250, -5243.0, 5243.0, 524300, 157820.0, 1096825.0, 3612672,
16, 5.0, 1290237.0, 884736, 1.0, 1290209.0, 589824, 7.0, 1290239.0, 3686400, -576.0, -1.0, 28800, -5243.0, 31463.0, 1835050, 183500.0, 1290566.0, 3686400,
17, 5.0, 151540.0, 16384, 1.0, 151482.0, 32768, 7.0, 151551.0, 524288, -82.0, -1.0, 4100, -656.0, -1.0, 32800, 151551.0, 162036.0, 524288,
18, 5.0, 1290237.0, 884736, 1.0, 1290209.0, 589824, 7.0, 1290239.0, 3686400, -576.0, -1.0, 28800, -5243.0, 31463.0, 1835050, 183500.0, 1290566.0, 3686400,
19, 5.0, 1290237.0, 884736, 1.0, 1290209.0, 589824, 7.0, 1290239.0, 3686400, -576.0, -1.0, 28800, -5243.0, 31463.0, 1835050, 183500.0, 1290566.0, 3686400,
20, 5.0, 87997.0, 64000, 1.0, 87993.0, 128000, 7.0, 87999.0, 32000, -3.0, -1.0, 150, -2560.0, -1.0, 128000, 87999.0, 88638.0, 32000,
