LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 9408, 2516.0, 148.0, 7.638319383938575e-05,
1, ellpack_block, 36864, 9792.0, 576.0, 0.00034176370244010974,
2, ellpack_block, 36864, 9792.0, 576.0, 0.00034176370244010974,
3, ellpack_block, 36864, 9792.0, 576.0, 0.00034176370244010974,
4, ellpack_block, 36864, 9792.0, 576.0, 0.00034176370244010974,
5, ellpack_block, 73728, 19584.0, 1152.0, 0.0012594472207432706,
6, ellpack_block, 147456, 39168.0, 2304.0, 0.0014577268698162593,
7, ellpack_block, 8192, 2176.0, 128.0, 0.0011750989194598217,
8, ellpack_block, 147456, 39168.0, 2304.0, 0.0014577268698162593,
9, ellpack_block, 147456, 39168.0, 2304.0, 0.0014577268698162593,
10, ellpack_block, 294912, 78336.0, 4608.0, 0.004854374045954319,
11, ellpack_block, 589824, 156672.0, 9216.0, 0.006493511068773018,
12, ellpack_block, 32768, 8704.0, 512.0, 0.004255354515911867,
13, ellpack_block, 589824, 156672.0, 9216.0, 0.006493511068773018,
14, ellpack_block, 589824, 156672.0, 9216.0, 0.006493511068773018,
15, ellpack_block, 1179648, 313344.0, 18432.0, 0.016949168127986816,
16, ellpack_block, 2359296, 626688.0, 36864.0, 0.02857145071572011,
17, ellpack_block, 131072, 34816.0, 2048.0, 0.013513602681605532,
18, ellpack_block, 2359296, 626688.0, 36864.0, 0.02857145071572011,
19, ellpack_block, 2359296, 626688.0, 36864.0, 0.02857145071572011,
20, ellpack_block, 512000, 136000.0, 8000.0, 0.09091012397868158,
